first_name,last_name,department,job_title,email,phone
Michael,Scott,Education,Regional Manager,michael.scott@dundermifflin.com,555-0101
Dwight,Schrute,Sales,Assistant to the Regional Manager,dwight.schrute@dundermifflin.com,555-0102
Jim,Halpert,Sales,Sales Representative,jim.halpert@dundermifflin.com,555-0103
Pam,Beesly,Reception,Receptionist,pam.beesly@dundermifflin.com,555-0104
Ryan,Howard,Temps,Temp,ryan.howard@dundermifflin.com,555-0105
Andy,Bernard,Sales,Sales Representative,andy.bernard@dundermifflin.com,555-0106
Robert,California,Corporate,CEO,robert.california@dundermifflin.com,555-0107
Stanley,Hudson,Sales,Sales Representative,stanley.hudson@dundermifflin.com,555-0108
Kevin,Malone,Accounting,Accountant,kevin.malone@dundermifflin.com,555-0109
Angela,Martin,Accounting,Accountant,angela.martin@dundermifflin.com,555-0110
Oscar,Martinez,Accounting,Accountant,oscar.martinez@dundermifflin.com,555-0111
Meredith,Palmer,Quality Assurance,Quality Assurance Representative,meredith.palmer@dundermifflin.com,555-0112
Creed,Bratton,Quality Assurance,Quality Assurance Representative,creed.bratton@dundermifflin.com,555-0113
Phyllis,Vance,Sales,Sales Representative,phyllis.vance@dundermifflin.com,555-0114
Kelly,Kapoor,Customer Service,Customer Service Representative,kelly.kapoor@dundermifflin.com,555-0115
Toby,Flenderson,Human Resources,Human Resources Representative,toby.flenderson@dundermifflin.com,555-0116
Holly,Flax,Human Resources,Human Resources Representative,holly.flax@dundermifflin.com,555-0117
Jan,Levinson,Corporate,VP of Sales,jan.levinson@dundermifflin.com,555-0118
David,Wallace,Corporate,CEO,david.wallace@dundermifflin.com,555-0119
Charles,Miner,Corporate,CEO,charles.miner@dundermifflin.com,555-0120
